,prompt,class,environment,weather,amount
548,"

A single tugboat in a lagoon under cloudy weather.",tugboat,lagoon,cloudy,Single
549,Two tugboats in a lagoon under cloudy weather.,tugboat,lagoon,cloudy,Two
550,Three tugboats in a lagoon under cloudy weather.,tugboat,lagoon,cloudy,Three
551,"

A tugboat anchored in a cloudy lagoon.",tugboat,lagoon,cloudy,Multiple
552,"

A single tugboat in a lagoon during rainy weather.",tugboat,lagoon,rainy,Single
553,Two tugboats in a lagoon during rainy weather.,tugboat,lagoon,rainy,Two
554,Three tugboats in a lagoon during rainy weather.,tugboat,lagoon,rainy,Three
555,"

A tugboat anchored in a rainy lagoon.",tugboat,lagoon,rainy,Multiple
556,"

A single tugboat in the lagoon during a stormy weather.",tugboat,lagoon,stormy,Single
557,Two tugboats in a lagoon during a storm.,tugboat,lagoon,stormy,Two
558,Three tugboats in a lagoon during a storm.,tugboat,lagoon,stormy,Three
559,"

A tugboat anchored in the lagoon during a stormy weather.",tugboat,lagoon,stormy,Multiple
560,"

A single tugboat in a snowy lagoon.",tugboat,lagoon,snowy,Single
561,Two tugboats in a snowy lagoon.,tugboat,lagoon,snowy,Two
562,Three tugboats in a snowy lagoon.,tugboat,lagoon,snowy,Three
563,"

A tugboat anchored in a snowy lagoon.",tugboat,lagoon,snowy,Multiple
564,"

A single tugboat in a lagoon shrouded by fog.",tugboat,lagoon,foggy,Single
565,Two tugboats in a lagoon shrouded in fog.,tugboat,lagoon,foggy,Two
566,Three tugboats in a lagoon shrouded in fog.,tugboat,lagoon,foggy,Three
567,"

A tugboat anchored in a foggy lagoon.",tugboat,lagoon,foggy,Multiple
568,"

A single tugboat in a lagoon during a windy day.",tugboat,lagoon,windy,Single
569,Two tugboats in a lagoon during windy weather.,tugboat,lagoon,windy,Two
570,Three tugboats in a lagoon during windy weather.,tugboat,lagoon,windy,Three
571,"

A tugboat anchored in a lagoon during a windy day.",tugboat,lagoon,windy,Multiple
572,"

A single tugboat in a tranquil lagoon under clear skies.",tugboat,lagoon,clear,Single
573,Two tugboats in a tranquil lagoon under clear skies.,tugboat,lagoon,clear,Two
574,Three tugboats in a tranquil lagoon under clear skies.,tugboat,lagoon,clear,Three
575,"

A tugboat anchored in a clear lagoon.",tugboat,lagoon,clear,Multiple
576,"

A single tugboat anchored in a sun-kissed fjord.",tugboat,fjord,sunny,Single
577,Two tugboats in a sunny fjord.,tugboat,fjord,sunny,Two
578,Three tugboats in a sunlit fjord.,tugboat,fjord,sunny,Three
579,"

A sunny day in the fjord. A tugboat anchored, its red hull reflecting the sunlight. Another tugboat, farther away, pulling a large freighter. The water is calm and clear, with gentle rip",tugboat,fjord,sunny,Multiple
580,"

A single tugboat in the fjord under cloudy weather.",tugboat,fjord,cloudy,Single
581,Two tugboats in a fjord under cloudy weather.,tugboat,fjord,cloudy,Two
582,Three tugboats in a fjord under cloudy weather.,tugboat,fjord,cloudy,Three
583,"

A tugboat anchored in the cloudy fjord.",tugboat,fjord,cloudy,Multiple
584,"

A single tugboat in the fjord during rainy weather.",tugboat,fjord,rainy,Single
585,Two tugboats in a rainy fjord.,tugboat,fjord,rainy,Two
586,Three tugboats in a rainy fjord.,tugboat,fjord,rainy,Three
587,"

A tugboat anchored in the rainy fjord, its red hull glistening with droplets.",tugboat,fjord,rainy,Multiple
588,"

A single tugboat anchored in the fjord during a stormy weather.",tugboat,fjord,stormy,Single
589,Two tugboats in a fjord during a storm.,tugboat,fjord,stormy,Two
590,Three tugboats in a fjord during a storm.,tugboat,fjord,stormy,Three
591,"

A tugboat anchored in the fjord during a stormy weather.",tugboat,fjord,stormy,Multiple
592,"

A single tugboat in a snowy fjord.",tugboat,fjord,snowy,Single
593,Two tugboats in a snowy fjord.,tugboat,fjord,snowy,Two
594,Three tugboats in a snowy fjord.,tugboat,fjord,snowy,Three
595,"

A tugboat anchored in a snowy fjord.",tugboat,fjord,snowy,Multiple
596,"

A single tugboat in the fjord amidst foggy conditions.",tugboat,fjord,foggy,Single
597,Two tugboats in the fjord under foggy conditions.,tugboat,fjord,foggy,Two
598,Three tugboats in a fjord shrouded in fog.,tugboat,fjord,foggy,Three
599,"

A tugboat anchored in the foggy fjord, its red and white hull barely visible through the mist.",tugboat,fjord,foggy,Multiple
600,"

A single tugboat anchored in a fjord during windy weather.",tugboat,fjord,windy,Single
601,Two tugboats in a fjord during windy weather.,tugboat,fjord,windy,Two
602,Three tugboats in a fjord during windy weather.,tugboat,fjord,windy,Three
603,"

A tugboat anchored in the fjord, its red hull battered by the wind and waves.",tugboat,fjord,windy,Multiple
604,"

A single tugboat anchored in a clear fjord.",tugboat,fjord,clear,Single
605,Two tugboats in a clear fjord.,tugboat,fjord,clear,Two
606,Three tugboats in a clear fjord.,tugboat,fjord,clear,Three
607,"

A tugboat anchored in a clear fjord.",tugboat,fjord,clear,Multiple
608,"

A single tugboat anchored in the sun-kissed delta.",tugboat,delta,sunny,Single
609,Two tugboats in the delta under a sunny sky.,tugboat,delta,sunny,Two
610,Three tugboats in the sunlit delta.,tugboat,delta,sunny,Three
611,"

A sunny day in the delta with a tugboat anchored in the calm waters.",tugboat,delta,sunny,Multiple
612,"

A single tugboat in the delta under cloudy weather.",tugboat,delta,cloudy,Single
613,Two tugboats in the delta under cloudy weather.,tugboat,delta,cloudy,Two
614,Three tugboats in a delta with cloudy weather.,tugboat,delta,cloudy,Three
615,"

A tugboat anchored in the cloudy delta.",tugboat,delta,cloudy,Multiple
616,A single tugboat in the delta under rainy weather.,tugboat,delta,rainy,Single
617,Two tugboats in the delta under rainy weather.,tugboat,delta,rainy,Two
618,Three tugboats in a delta during rainy weather.,tugboat,delta,rainy,Three
619,"

A tugboat anchored in the delta, raindrops pounding its metal hull.",tugboat,delta,rainy,Multiple
620,A single tugboat in the delta during a storm.,tugboat,delta,stormy,Single
621,Two tugboats in the delta during a storm.,tugboat,delta,stormy,Two
622,Three tugboats in a delta during a storm.,tugboat,delta,stormy,Three
623,"

A tugboat anchored in the delta, weathered by stormy conditions.",tugboat,delta,stormy,Multiple
624,"

A single tugboat in the delta, shrouded in snowfall.",tugboat,delta,snowy,Single
625,Two tugboats in the delta with snowy weather.,tugboat,delta,snowy,Two
626,Three tugboats in a snowy delta.,tugboat,delta,snowy,Three
627,"

A tugboat anchored in the delta, surrounded by snow-covered water.",tugboat,delta,snowy,Multiple
628,"

A single tugboat in the delta, shrouded in fog.",tugboat,delta,foggy,Single
629,Two tugboats in the delta with foggy weather.,tugboat,delta,foggy,Two
630,Three tugboats in a delta with foggy weather.,tugboat,delta,foggy,Three
631,"

A tugboat anchored in the foggy delta.",tugboat,delta,foggy,Multiple
632,"

A single tugboat in the delta amidst windy conditions.",tugboat,delta,windy,Single
633,Two tugboats in the delta with windy weather.,tugboat,delta,windy,Two
634,Three tugboats in a delta with windy weather.,tugboat,delta,windy,Three
635,"

A tugboat anchored in the delta, weathered by windy conditions.",tugboat,delta,windy,Multiple
636,"

A single tugboat anchored in the clear delta water.",tugboat,delta,clear,Single
637,Two tugboats in the delta with clear weather.,tugboat,delta,clear,Two
638,Three tugboats in a clear delta.,tugboat,delta,clear,Three
639,"

A clear day in the delta with a tugboat anchored by the riverbank.",tugboat,delta,clear,Multiple
640,"

A single tugboat at an offshore platform in a sunny day.",tugboat,offshore platform area,sunny,Single
641,Two tugboats in the offshore platform area under a sunny sky.,tugboat,offshore platform area,sunny,Two
642,Three tugboats near an offshore platform under a sunny sky.,tugboat,offshore platform area,sunny,Three
643,"

A sunny offshore platform area with a tugboat anchored nearby.",tugboat,offshore platform area,sunny,Multiple
644,"

A single tugboat at an offshore platform in a cloudy weather.",tugboat,offshore platform area,cloudy,Single
645,Two tugboats in the offshore platform area during cloudy weather.,tugboat,offshore platform area,cloudy,Two
646,Three tugboats near an offshore platform in cloudy weather.,tugboat,offshore platform area,cloudy,Three
647,"

A tugboat anchored at an offshore platform in a cloudy weather.",tugboat,offshore platform area,cloudy,Multiple
648,"

A single tugboat in the offshore platform area during rainy weather.",tugboat,offshore platform area,rainy,Single
649,Two tugboats in the offshore platform area during rainy weather.,tugboat,offshore platform area,rainy,Two
650,Three tugboats in the offshore platform area during rainy weather.,tugboat,offshore platform area,rainy,Three
651,"

A tugboat anchored at an offshore platform in the rainy weather.",tugboat,offshore platform area,rainy,Multiple
652,"

A single tugboat in the offshore platform area during a stormy weather.",tugboat,offshore platform area,stormy,Single
653,Two tugboats in the offshore platform area during a storm.,tugboat,offshore platform area,stormy,Two
654,Three tugboats in the offshore platform area during a storm.,tugboat,offshore platform area,stormy,Three
655,"

A tugboat anchored at an offshore platform amidst stormy weather. Rain pounded against the metal hull, waves crashed against the sides, and wind howled through the rigging. The tugboat's powerful engines hum",tugboat,offshore platform area,stormy,Multiple
656,"

A single tugboat at an offshore platform in a snowy weather.",tugboat,offshore platform area,snowy,Single
657,Two tugboats in the offshore platform area during a snowstorm.,tugboat,offshore platform area,snowy,Two
658,Three tugboats in the offshore platform area during a snowstorm.,tugboat,offshore platform area,snowy,Three
659,"

A tugboat anchored at an offshore platform in a snowstorm.",tugboat,offshore platform area,snowy,Multiple
660,"

A single tugboat in the offshore platform area, shrouded in fog.",tugboat,offshore platform area,foggy,Single
661,Two tugboats in the offshore platform area with foggy weather.,tugboat,offshore platform area,foggy,Two
662,Three tugboats in the offshore platform area with foggy weather.,tugboat,offshore platform area,foggy,Three
663,"

A tugboat anchored at an offshore platform in the foggy conditions.",tugboat,offshore platform area,foggy,Multiple
664,"

A single tugboat in the offshore platform area during a windy day.",tugboat,offshore platform area,windy,Single
665,Two tugboats in the offshore platform area during windy weather.,tugboat,offshore platform area,windy,Two
666,Three tugboats in the offshore platform area during windy weather.,tugboat,offshore platform area,windy,Three
667,"

A tugboat anchored at an offshore platform in windy conditions.",tugboat,offshore platform area,windy,Multiple
668,"

A single tugboat at an offshore platform in clear weather.",tugboat,offshore platform area,clear,Single
669,Two tugboats in the offshore platform area with clear weather.,tugboat,offshore platform area,clear,Two
670,Three tugboats near an offshore platform in clear weather.,tugboat,offshore platform area,clear,Three
671,"

Clear day in the offshore platform area. A tugboat anchored near an oil rig.",tugboat,offshore platform area,clear,Multiple
672,"

A single tugboat near a lighthouse in a sunny day.",tugboat,near lighthouse,sunny,Single
673,Two tugboats near a lighthouse in a sunny day.,tugboat,near lighthouse,sunny,Two
674,Three tugboats near a lighthouse in sunny weather.,tugboat,near lighthouse,sunny,Three
675,"

A tugboat anchored near a lighthouse in a sunny day.",tugboat,near lighthouse,sunny,Multiple
676,"

A single tugboat near a lighthouse in a cloudy weather.",tugboat,near lighthouse,cloudy,Single
677,Two tugboats near a lighthouse in cloudy weather.,tugboat,near lighthouse,cloudy,Two
678,Three tugboats near a lighthouse in cloudy weather.,tugboat,near lighthouse,cloudy,Three
679,"

A tugboat anchored near a lighthouse in the cloudy weather.",tugboat,near lighthouse,cloudy,Multiple
680,"

A single tugboat near a lighthouse in the rainy weather.",tugboat,near lighthouse,rainy,Single
681,Two tugboats near a lighthouse in the rain.,tugboat,near lighthouse,rainy,Two
682,Three tugboats near a lighthouse in the rain.,tugboat,near lighthouse,rainy,Three
683,"

A tugboat anchored near a lighthouse in the rainy weather.",tugboat,near lighthouse,rainy,Multiple
684,"

A single tugboat near the lighthouse in a stormy weather.",tugboat,near lighthouse,stormy,Single
685,Two tugboats near a lighthouse in a stormy weather.,tugboat,near lighthouse,stormy,Two
686,Three tugboats near a lighthouse in a stormy weather.,tugboat,near lighthouse,stormy,Three
687,"

A tugboat anchored near a lighthouse in a stormy weather.",tugboat,near lighthouse,stormy,Multiple
688,"

A single tugboat near a snow-capped lighthouse.",tugboat,near lighthouse,snowy,Single
689,Two tugboats near a lighthouse in a snowy weather.,tugboat,near lighthouse,snowy,Two
690,Three tugboats near a lighthouse in a snowy weather.,tugboat,near lighthouse,snowy,Three
691,"

A tugboat anchored near a lighthouse, surrounded by snowdrifts.",tugboat,near lighthouse,snowy,Multiple
692,"

A single tugboat near a lighthouse in foggy conditions.",tugboat,near lighthouse,foggy,Single
693,Two tugboats near a lighthouse in the fog.,tugboat,near lighthouse,foggy,Two
694,Three tugboats near a lighthouse in the fog.,tugboat,near lighthouse,foggy,Three
695,"

A tugboat anchored near a lighthouse in the foggy harbor.",tugboat,near lighthouse,foggy,Multiple
696,A single tugboat near a lighthouse in windy weather.,tugboat,near lighthouse,windy,Single
697,Two tugboats near a lighthouse in windy weather.,tugboat,near lighthouse,windy,Two
698,Three tugboats near a lighthouse in windy weather.,tugboat,near lighthouse,windy,Three
699,"

A tugboat anchored near a lighthouse in a windy weather.",tugboat,near lighthouse,windy,Multiple
700,A single tugboat near a lighthouse in clear weather.,tugboat,near lighthouse,clear,Single
701,Two tugboats near a lighthouse in clear weather.,tugboat,near lighthouse,clear,Two
702,Three tugboats near a lighthouse in clear weather.,tugboat,near lighthouse,clear,Three
703,"

A tugboat anchored near a lighthouse in clear weather.",tugboat,near lighthouse,clear,Multiple
704,"

A single tugboat at the near bridge in a sunny day.",tugboat,near bridge,sunny,Single
705,Two tugboats near a bridge in sunny weather.,tugboat,near bridge,sunny,Two
706,Three tugboats near a bridge in sunny weather.,tugboat,near bridge,sunny,Three
707,"

A sunny day on a river. A tugboat moored near a bridge.",tugboat,near bridge,sunny,Multiple
708,"

A single tugboat near a bridge in a cloudy weather.",tugboat,near bridge,cloudy,Single
709,Two tugboats near a bridge in cloudy weather.,tugboat,near bridge,cloudy,Two
710,Three tugboats near a bridge in cloudy weather.,tugboat,near bridge,cloudy,Three
711,"

A tugboat moored near a bridge in the cloudy weather.",tugboat,near bridge,cloudy,Multiple
712,"

A single tugboat near a bridge in the rainy weather.",tugboat,near bridge,rainy,Single
713,Two tugboats in the rain near a bridge.,tugboat,near bridge,rainy,Two
714,Three tugboats near a bridge in the rain.,tugboat,near bridge,rainy,Three
715,"

A tugboat moored near a bridge in the rain.",tugboat,near bridge,rainy,Multiple
716,"

A single tugboat near a bridge in a stormy weather.",tugboat,near bridge,stormy,Single
717,Two tugboats near a bridge in stormy weather.,tugboat,near bridge,stormy,Two
718,Three tugboats near a bridge in a stormy weather.,tugboat,near bridge,stormy,Three
719,"

A tugboat moored near a bridge in a stormy weather.",tugboat,near bridge,stormy,Multiple
720,"

A single tugboat near a snow-covered bridge.",tugboat,near bridge,snowy,Single
721,Two tugboats in the near bridge during a snowy weather.,tugboat,near bridge,snowy,Two
722,Three tugboats near a bridge in a snowy weather.,tugboat,near bridge,snowy,Three
723,"

A tugboat moored near a bridge in a snowy weather.",tugboat,near bridge,snowy,Multiple
724,"

A single tugboat in the near bridge, shrouded by fog.",tugboat,near bridge,foggy,Single
725,Two tugboats in the near bridge in foggy weather.,tugboat,near bridge,foggy,Two
726,Three tugboats in the near bridge in foggy weather.,tugboat,near bridge,foggy,Three
727,"

A tugboat anchored near a bridge in the foggy weather.",tugboat,near bridge,foggy,Multiple
728,"

A single tugboat near a bridge in a windy condition.",tugboat,near bridge,windy,Single
729,Two tugboats near a bridge in windy weather.,tugboat,near bridge,windy,Two
730,Three tugboats near a bridge in windy weather.,tugboat,near bridge,windy,Three
731,"

A tugboat anchored near a bridge in a windy weather.",tugboat,near bridge,windy,Multiple
732,"

A single tugboat at the bridge in clear weather.",tugboat,near bridge,clear,Single
733,Two tugboats near a bridge with clear weather.,tugboat,near bridge,clear,Two
734,Three tugboats near a bridge in clear weather.,tugboat,near bridge,clear,Three
735,"

A tugboat moored near a bridge in clear weather.",tugboat,near bridge,clear,Multiple
736,"

A single tugboat at anchor in a sunny anchorage.",tugboat,anchorage area,sunny,Single
737,Two tugboats in the anchorage area with a sunny weather.,tugboat,anchorage area,sunny,Two
738,Three tugboats in an anchorage area with sunny weather.,tugboat,anchorage area,sunny,Three
739,"

A sunny anchorage filled with multiple tugboats.",tugboat,anchorage area,sunny,Multiple
740,"

A single tugboat in the anchorage area, surrounded by calm waters, under a cloudy sky.",tugboat,anchorage area,cloudy,Single
741,Two tugboats in the anchorage area during cloudy weather.,tugboat,anchorage area,cloudy,Two
742,Three tugboats in the anchorage area with cloudy weather.,tugboat,anchorage area,cloudy,Three
743,"

Cloudy anchorage with multiple tugboats.",tugboat,anchorage area,cloudy,Multiple
744,"

A single tugboat in the anchorage area during rainy weather.",tugboat,anchorage area,rainy,Single
745,Two tugboats in the anchorage during rainy weather.,tugboat,anchorage area,rainy,Two
746,Three tugboats in the anchorage during rainy weather.,tugboat,anchorage area,rainy,Three
747,"

A rainy anchorage with multiple tugboats.",tugboat,anchorage area,rainy,Multiple
748,"

A single tugboat in the anchorage area during a stormy weather.",tugboat,anchorage area,stormy,Single
749,Two tugboats in the anchorage during a storm.,tugboat,anchorage area,stormy,Two
750,Three tugboats in an anchorage area during a storm.,tugboat,anchorage area,stormy,Three
751,"

A tugboat anchored in the stormy anchorage area, waves crashing against its hull.",tugboat,anchorage area,stormy,Multiple
752,"

A single tugboat in the anchorage area, surrounded by snow-covered water.",tugboat,anchorage area,snowy,Single
753,Two tugboats in the anchorage area during a snowstorm.,tugboat,anchorage area,snowy,Two
754,Three tugboats in an anchorage area during a snowstorm.,tugboat,anchorage area,snowy,Three
755,"

A snow-covered tugboat at anchor in the icy waters.",tugboat,anchorage area,snowy,Multiple
756,"

A single tugboat in the anchorage area, shrouded in fog.",tugboat,anchorage area,foggy,Single
757,Two tugboats in the anchorage area with foggy weather.,tugboat,anchorage area,foggy,Two
758,Three tugboats in the anchorage area shrouded in fog.,tugboat,anchorage area,foggy,Three
759,"

A tugboat anchored in the foggy anchorage area.",tugboat,anchorage area,foggy,Multiple
760,"

A single tugboat in the anchorage area, weathered by windy conditions.",tugboat,anchorage area,windy,Single
761,Two tugboats in an anchorage area during windy weather.,tugboat,anchorage area,windy,Two
762,Three tugboats in an anchorage area during windy weather.,tugboat,anchorage area,windy,Three
763,"

A tugboat anchored in a windy anchorage area, waves crashing against its hull.",tugboat,anchorage area,windy,Multiple
764,"

A single tugboat at anchor in a clear anchorage area.",tugboat,anchorage area,clear,Single
765,Two tugboats in the anchorage area with clear weather.,tugboat,anchorage area,clear,Two
766,Three tugboats in an anchorage area with clear weather.,tugboat,anchorage area,clear,Three
767,"

Clear day in the anchorage area. A line of three tugboats.",tugboat,anchorage area,clear,Multiple
768,A small boat at anchor in a sunny port.,small boat,port,sunny,Single
769,Two small boats in a sunny port.,small boat,port,sunny,Two
770,Three small boats in a sunny port.,small boat,port,sunny,Three
771,"

A small boat anchored in the calm, sun-kissed port.",small boat,port,sunny,Multiple
772,"

A small boat at rest in a port, surrounded by the tranquil waters, under a cloudy sky.",small boat,port,cloudy,Single
773,Two small boats in a port during cloudy weather.,small boat,port,cloudy,Two
774,Three small boats in a port during cloudy weather.,small boat,port,cloudy,Three
775,"

A small boat at anchor in the port, surrounded by gentle waves, under a cloudy sky.",small boat,port,cloudy,Multiple
776,A small boat in the port during rainy weather.,small boat,port,rainy,Single
777,Two small boats in a port during rainy weather.,small boat,port,rainy,Two
778,Three small boats in a port during rainy weather.,small boat,port,rainy,Three
779,"

A small boat tied to the dock, raindrops cascading off its sides in the pouring rain.",small boat,port,rainy,Multiple
780,A small boat in the port during a storm.,small boat,port,stormy,Single
781,Two small boats in a port during a storm.,small boat,port,stormy,Two
782,Three small boats in a port during a storm.,small boat,port,stormy,Three
783,"

A small boat rocking in the stormy port, waves crashing against its sides.",small boat,port,stormy,Multiple
784,"A small boat, solitary, in the port, under a snowy sky.",small boat,port,snowy,Single
785,Two small boats in a snowy port.,small boat,port,snowy,Two
786,Three small boats in a snowy port.,small boat,port,snowy,Three
787,"A small boat, frozen in the ice, in a snowy port.",small boat,port,snowy,Multiple
788,"A small boat at rest in the port, shrouded in fog.",small boat,port,foggy,Single
789,Two small boats in a port shrouded by fog.,small boat,port,foggy,Two
790,Three small boats in a port shrouded by fog.,small boat,port,foggy,Three
791,"

A small boat anchored in the port, shrouded in fog.",small boat,port,foggy,Multiple
792,A small boat in the port during a windy day.,small boat,port,windy,Single
793,Two small boats in a port during windy weather.,small boat,port,windy,Two
794,Three small boats in a port during a windy day.,small boat,port,windy,Three
795,"

A small boat rocking in the harbor, anchored amidst choppy waters, as the wind whips up the waves.",small boat,port,windy,Multiple
796,Clear day. A small boat at rest in the port.,small boat,port,clear,Single
797,Two small boats in a clear port.,small boat,port,clear,Two
798,Three small boats in a clear port.,small boat,port,clear,Three
799,"Clear day in the port, a small boat tied to the dock.",small boat,port,clear,Multiple
800,A small boat in the harbor on a sunny day.,small boat,harbor,sunny,Single
801,Two small boats in a sunny harbor.,small boat,harbor,sunny,Two
802,Three small boats in a sunny harbor.,small boat,harbor,sunny,Three
803,"

A small boat anchored in the harbor, sunny day.",small boat,harbor,sunny,Multiple
804,"

A small boat in the harbor, surrounded by gentle waves, under a cloudy sky.",small boat,harbor,cloudy,Single
805,Two small boats in a harbor under cloudy weather.,small boat,harbor,cloudy,Two
806,Three small boats in a harbor under cloudy weather.,small boat,harbor,cloudy,Three
807,"

A small boat anchored in the harbor, surrounded by gentle waves. The sky above was overcast with thick, gray clouds.",small boat,harbor,cloudy,Multiple
808,A small boat in the harbor during rainy weather.,small boat,harbor,rainy,Single
809,Two small boats in a harbor during rainy weather.,small boat,harbor,rainy,Two
810,Three small boats in a harbor during rainy weather.,small boat,harbor,rainy,Three
811,"

A small boat in the harbor during a rainstorm.",small boat,harbor,rainy,Multiple
812,A small boat in the harbor during a storm.,small boat,harbor,stormy,Single
813,Two small boats in a harbor during a storm.,small boat,harbor,stormy,Two
814,Three small boats in a harbor during a storm.,small boat,harbor,stormy,Three
815,"

A small boat rocking in the harbor during a stormy weather.",small boat,harbor,stormy,Multiple
816,"A small boat in the harbor, shrouded in snow.",small boat,harbor,snowy,Single
817,Two small boats in a harbor under snowy weather.,small boat,harbor,snowy,Two
818,Three small boats in a snowy harbor.,small boat,harbor,snowy,Three
819,"

A small boat in the harbor, surrounded by snow-covered docks and moorings. The water is calm but frozen, with thin layers of ice forming around the boat's edges. Snowflakes gently fall from the sky",small boat,harbor,snowy,Multiple
820,"A small boat in the harbor, shrouded in fog.",small boat,harbor,foggy,Single
821,Two small boats in a harbor shrouded in fog.,small boat,harbor,foggy,Two
822,Three small boats in a harbor shrouded in fog.,small boat,harbor,foggy,Three
823,"

A small boat anchored in the harbor, shrouded in fog.",small boat,harbor,foggy,Multiple
824,"A small boat in the harbor, weathered by wind.",small boat,harbor,windy,Single
825,Two small boats in a harbor during windy weather.,small boat,harbor,windy,Two
826,Three small boats in a harbor during a windy day.,small boat,harbor,windy,Three
827,Multiple small boats in a harbor during a windy day.,small boat,harbor,windy,Multiple
828,Clear sky. A small boat in the harbor.,small boat,harbor,clear,Single
829,Two small boats in a clear harbor.,small boat,harbor,clear,Two
830,Three small boats in a clear harbor.,small boat,harbor,clear,Three
831,Clear sky over a small boat in the harbor.,small boat,harbor,clear,Multiple
832,A small boat in the marina on a sunny day.,small boat,marina,sunny,Single
833,Two small boats in a marina under a sunny sky.,small boat,marina,sunny,Two
834,Three small boats in a marina under a sunny sky.,small boat,marina,sunny,Three
835,"

A small boat tied to the dock in a sunny marina.",small boat,marina,sunny,Multiple
836,"

A small boat in the marina, surrounded by calm waters, under a cloudy sky.",small boat,marina,cloudy,Single
837,Two small boats in a marina under cloudy weather.,small boat,marina,cloudy,Two
838,Three small boats in a marina under cloudy weather.,small boat,marina,cloudy,Three
839,"

A small boat tied to the dock, surrounded by calm waters under an overcast sky.",small boat,marina,cloudy,Multiple
840,A small boat in the marina during rain.,small boat,marina,rainy,Single
841,Two small boats in a marina during rainy weather.,small boat,marina,rainy,Two
842,Three small boats in a marina during rainy weather.,small boat,marina,rainy,Three
843,"

A small boat rocking gently in the marina during a rainstorm.",small boat,marina,rainy,Multiple
844,A small boat in the marina during a storm.,small boat,marina,stormy,Single
845,Two small boats in a marina during a storm.,small boat,marina,stormy,Two
846,Three small boats in a marina during a storm.,small boat,marina,stormy,Three
847,"

A small boat rocking violently in the marina during a stormy night.",small boat,marina,stormy,Multiple
848,"A small boat in the marina, surrounded by ice floes in a snowstorm.",small boat,marina,snowy,Single
849,Two small boats in a marina under snowy weather.,small boat,marina,snowy,Two
850,Three small boats in a marina under snowy weather.,small boat,marina,snowy,Three
851,"

A small boat in the marina, surrounded by ice floes in a snowy weather.",small boat,marina,snowy,Multiple
852,"A small boat in the marina, shrouded in fog.",small boat,marina,foggy,Single
853,Two small boats in a marina shrouded in fog.,small boat,marina,foggy,Two
854,Three small boats in a marina shrouded in fog.,small boat,marina,foggy,Three
855,"

A small boat anchored in the marina, shrouded in fog.",small boat,marina,foggy,Multiple
856,A small boat rocking in the marina during a windy day.,small boat,marina,windy,Single
857,Two small boats in a marina during windy weather.,small boat,marina,windy,Two
858,Three small boats in a marina during a windy day.,small boat,marina,windy,Three
859,"

A small boat rocking in the marina amidst windy conditions.",small boat,marina,windy,Multiple
860,Clear day in a marina. A small boat rests gently against the dock.,small boat,marina,clear,Single
861,Two small boats in a marina with clear weather.,small boat,marina,clear,Two
862,Three small boats in a marina with clear weather.,small boat,marina,clear,Three
863,"Clear sky above a marina, a small boat tied to a dock.",small boat,marina,clear,Multiple
864,A small boat in the dock on a sunny day.,small boat,dock,sunny,Single
865,Two small boats in a sunny dock.,small boat,dock,sunny,Two
866,Three small boats in a sunny dock.,small boat,dock,sunny,Three
867,"

A small boat docked at the marina, bathed in the golden light of a sunny day.",small boat,dock,sunny,Multiple
868,"

A small boat in the dock, surrounded by calm waters, under a cloudy sky.",small boat,dock,cloudy,Single
869,Two small boats in a dock during cloudy weather.,small boat,dock,cloudy,Two
870,Three small boats in a dock during cloudy weather.,small boat,dock,cloudy,Three
871,"

A small boat in the dock, surrounded by calm waters, under a cloudy sky.",small boat,dock,cloudy,Multiple
872,A small boat in the dock during rain.,small boat,dock,rainy,Single
873,Two small boats in a dock during rain.,small boat,dock,rainy,Two
874,Three small boats in a dock during rainy weather.,small boat,dock,rainy,Three
875,"

A small boat in the dock during a rainstorm.",small boat,dock,rainy,Multiple
876,A small boat in the dock during a stormy weather.,small boat,dock,stormy,Single
877,Two small boats in a dock during a storm.,small boat,dock,stormy,Two
878,Three small boats in a dock during a stormy weather.,small boat,dock,stormy,Three
879,"

A small boat tied to the dock, stormy weather.",small boat,dock,stormy,Multiple
880,"A small boat, solitary in the dock, under a snowy sky.",small boat,dock,snowy,Single
881,Two small boats in a dock during a snowstorm.,small boat,dock,snowy,Two
882,Three small boats in a snowy dock.,small boat,dock,snowy,Three
883,"

A small boat in the dock, surrounded by a thick layer of fresh snow.",small boat,dock,snowy,Multiple
884,"A small boat in the dock, shrouded in fog.",small boat,dock,foggy,Single
885,Two small boats in a dock with foggy weather.,small boat,dock,foggy,Two
886,Three small boats in a foggy dock.,small boat,dock,foggy,Three
887,"

A small boat in the dock, shrouded in fog.",small boat,dock,foggy,Multiple
888,A small boat in the dock during a windy day.,small boat,dock,windy,Single
889,Two small boats at dock during windy weather.,small boat,dock,windy,Two
890,Three small boats in a dock during a windy day.,small boat,dock,windy,Three
891,"

A small boat tied to the dock, waves crashing against the hull in the windy weather.",small boat,dock,windy,Multiple
892,Clear day. A small boat in the dock.,small boat,dock,clear,Single
893,Two small boats in a clear dock.,small boat,dock,clear,Two
894,Three small boats in a clear dock.,small boat,dock,clear,Three
895,Clear day. A small boat in the dock.,small boat,dock,clear,Multiple
896,A small boat resting in a shipyard on a sunny day.,small boat,shipyard,sunny,Single
897,Two small boats in a shipyard under a sunny sky.,small boat,shipyard,sunny,Two
898,Three small boats in a shipyard under a sunny sky.,small boat,shipyard,sunny,Three
899,"

A small boat resting on the slipway, surrounded by workers in sunny shipyard.",small boat,shipyard,sunny,Multiple
